Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3206011,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,"Chan, Francis","Danae Yankoski, Chris Tomlin","=""1434768511""","=""9781434768513""",5,David C. Cook,Paperback,187,2008,2008,2012/01/24,2011/07/16,,,read,I really enjoyed this book - it challenged me to live out my faith and spoke of the hypocrisy in many churches.  I recommend it to everyone!,,,1,0
5941419,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",Rob Inglis,"=""0788739573""","=""9780788739576""",4,"Recorded Books, LLC",Audio CD,,1990,1954,2011/11/09,2011/11/07,,,read,"I really enjoyed listening to this book - it's a perfect listening story - not so suspenseful that one is tempted to stay in the car and listen to it when one should be working; but not boring either - a wonderful, delightful tale that slowly unfolds as one listens.  I love the songs in here too - another reason why listening is great, because Inglis sings them.  I hope I can listen to them all again and memorize them.  I like them all!  So much beauty.  So much history.  So much tragedy, yet hope.  A truly beautiful story.",,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",4,William Morrow Paperbacks,Paperback,370,2003,1996,2011/10/26,2011/10/08,,,read,"Neverwhere is a fascinating book and one of the most unusual I've read recently.  My favorite aspect aspect of it is all the very odd metaphors that Gaiman comes up with to describe things - I don't think I've ever read the like!  Also, great adventure and an interesting/unexpected ending.  The world he creates for London Below is truly intriguing and quite bizarre.  I would recommend it, as long as one does not mind some pretty nasty villains - Croup and Vandemar.  They were some of the most memorable and horrifying villains I've read in a long time!",,,1,1
9282469,The Deerslayer,James Fenimore Cooper,"Cooper, James Fenimore",,"=""""","=""""",4,B&R Samizdat Express,Nook,0,2009,1841,2003/03/11,2011/07/12,,,read,**This book is not the same edition that I read.,,,1,0
84369,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,"Lewis, C.S.",,"=""0007202326""","=""9780007202324""",5,HarperCollins Publishers,Paperback,288,2005,1956,2011/10/13,2011/10/13,,,read,The most beautiful book I have ever yet read!  I listened to the audio version.,,,1,0
1268479,Warbreaker,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,Self-published,ebook,688,2009,2009,2011/10/08,2011/08/13,,,read,,,,1,1
141305,Once on a Time,A.A. Milne,"Milne, A.A.",,"=""""","=""""",0,Puffin,Paperback,116,1971,1917,,2011/10/08,to-read,to-read (#70),to-read,,,,0,0
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""158049580X""","=""9781580495806""",0,Prestwick House,Paperback,89,2005,1895,,2011/10/08,to-read,to-read (#69),to-read,,,,0,0
1320195,Moment in Peking,Lin Yutang,"Yutang, Lin",,"=""9997412575""","=""9789997412577""",0,John Day,Hardcover,815,1939,1939,,2011/10/08,to-read,to-read (#68),to-read,,,,0,0
201054,"Dragon's Blood (Pit Dragon Chronicles, #1)",Jane Yolen,"Yolen, Jane",,"=""0152051260""","=""9780152051266""",0,Magic Carpet Harcourt,Paperback,303,2004,1982,,2011/10/08,to-read,to-read (#67),to-read,,,,0,0
